"","Total Votes","County","County Office","Candidate","Party","Candidate Type","Election Votes","Percent"
"1176","3,677","Jim Wells County","Race: County Commissioner Pct. 3","CARLOS (COACH) GONZALEZ","D","I","1,280",34.8109872178406
"1177","3,677","Jim Wells County","Race: County Commissioner Pct. 3","RENEE KIRCHOFF CHAPA","R","N","2,397",65.1890127821594
"1178","9506/11340","Jim Wells County","Race: District Attorney 79th Judicial District","CARLOS OMAR GARCIA","D","I","9506/11340",NA
"1179","1","Jim Wells County","Race: Sheriff","DANNY J. BUENO","D","I","1",100
"1180","13,141","Jim Wells County","Race: Tax Assessor-Collector","MARY LOZANO","D","I","7,130",54.257666844228
"1181","13,141","Jim Wells County","Race: Tax Assessor-Collector","SERVANDO WOLF GARZA","R","N","6,011",45.742333155772
"1182","13,020","Johnson County","Race: Constable Pct. 1","MATT WYLIE","R","I","13,020",100
"1183","16,122","Johnson County","Race: Constable Pct. 2","ADAM CRAWFORD","R","I","16,122",100
"1184","14,720","Johnson County","Race: Constable Pct. 3","STEVE WILLIAMS","R","N","14,720",100
"1185","13,050","Johnson County","Race: Constable Pct. 4","TROY FULLER","R","N","13,050",100
"1186","59,376","Johnson County","Race: County Attorney","BILL MOORE","R","I","59,376",100
"1187","13,297","Johnson County","Race: County Commissioner Pct. 1","RICK BAILEY","R","I","13,297",100
"1188","18,039","Johnson County","Race: County Commissioner Pct. 3","CHRIS EVANS","D","N","4,776",26.4759687344088
"1189","18,039","Johnson County","Race: County Commissioner Pct. 3","MIKE WHITE","R","N","13,263",73.5240312655912
"1190","58498/63011","Johnson County","Race: District Attorney 18th Judicial District","DALE HANNA","R","I","58498/63011",NA
"1191","59,265","Johnson County","Race: Sheriff","ADAM KING","R","I","59,265",100
"1192","60,111","Johnson County","Race: Tax Assessor-Collector","SCOTT PORTER","R","I","60,111",100
"1193","1","Jones County","Race: Constable","JAY PACE","R","N","1",100
"1194","1","Jones County","Race: County Attorney","CHAD COWAN","R","I","1",100
"1195","1","Jones County","Race: County Commissioner Pct. 1","ROY SPALDING","R","N","1",100
"1196","1","Jones County","Race: County Commissioner Pct. 2","LONNIE VIVIAN","R","I","1",100
"1197","1","Jones County","Race: County Commissioner Pct. 3","TODD JEFFERY MCWILLIAMS","R","N","1",100
"1198","5554/7035","Jones County","Race: District Attorney 259th Judicial District","JOE EDD BOAZ","R","I","5554/7035",NA
"1199","1","Jones County","Race: Sheriff","DANNY JIMENEZ","R","I","1",100
"1200","1","Jones County","Race: Tax Assessor-Collector","GLORIA LITTLE","R","I","1",100
"1201","1,114","Karnes County","Race: Constable Pct. 1","DENNIS FENNER","R","I","1,114",100
"1202","1,428","Karnes County","Race: Constable Pct. 2","DONALD EDWARD HONS","R","I","1,428",100
"1203","1,238","Karnes County","Race: Constable Pct. 3","DAVID KUNSCHIK","R","N","717",57.9159935379645
"1204","1,238","Karnes County","Race: Constable Pct. 3","FELIX CASANOVA","D","N","521",42.0840064620355
"1205","804","Karnes County","Race: Constable Pct. 4","FERNANDO RIOS III","D","I","804",100
"1206","4,271","Karnes County","Race: County Attorney","JENNIFER (EBROM) DILLINGHAM","R","I","4,271",100
"1207","1,092","Karnes County","Race: County Commissioner Pct. 1","SHELBY J. DUPNIK","R","I","1,092",100
"1208","1,259","Karnes County","Race: County Commissioner Pct. 3","JAMES ROSALES","R","N","788",62.5893566322478
"1209","1,259","Karnes County","Race: County Commissioner Pct. 3","MARY LOZANO","D","N","471",37.4106433677522
"1210","4222/41169","Karnes County","Race: District Attorney 81st Judicial District","AUDREY GOSSETT LOUIS","R","I","4222/41169",NA
"1211","5,165","Karnes County","Race: Sheriff","DWAYNE VILLANUEVA","D","I","3,391",65.6534365924492
"1212","5,165","Karnes County","Race: Sheriff","GREGORY MERKERT","R","N","1,774",34.3465634075508
"1213","4,362","Karnes County","Race: Tax Assessor-Collector","TAMMY BRAUDAWAY","R","N","4,362",100
"1214","10,133","Kaufman County","Race: Constable Pct. 1","SHAWN MAYFIELD","R","I","10,133",100
"1215","17,784","Kaufman County","Race: Constable Pct. 2","JASON JOHNSON","R","I","17,784",100
"1216","8,737","Kaufman County","Race: Constable Pct. 3","MATT WOODALL","R","N","8,737",100
"1217","13,678","Kaufman County","Race: Constable Pct. 4","VANESSA BROOKS","R","N","13,678",100
"1218","10,089","Kaufman County","Race: County Commissioner Pct. 1","MIKE HUNT","R","I","10,089",100
"1219","8,752","Kaufman County","Race: County Commissioner Pct. 3","TERRY BARBER","R","I","8,752",100
"1220","8,761","Kaufman County","Race: Justice of the Peace Pct. 3","RHITT JACKSON","R","N","8,761",100
"1221","50,226","Kaufman County","Race: Sheriff","BRYAN BEAVERS","R","I","50,226",100
"1222","50,798","Kaufman County","Race: Tax Assessor-Collector","BRENDA SAMPLES","R","I","50,798",100
"1223","5,409","Kendall County","Race: Constable Pct. 1","TODD SETLIFF","R","N","5,409",100
"1224","8,853","Kendall County","Race: Constable Pct. 2","PAUL KNOLL","R","N","8,853",100
"1225","5,218","Kendall County","Race: Constable Pct. 3","GENE SERENE","R","I","5,218",100
"1226","4,855","Kendall County","Race: Constable Pct. 4","BRIAN VAUGHAN","R","I","4,855",100
"1227","5,410","Kendall County","Race: County Commissioner Pct. 1","CHRISTINA BERGMANN","R","I","5,410",100
"1228","5,238","Kendall County","Race: County Commissioner Pct. 3","RICHARD CHAPMAN","R","I","5,238",100
"1229","24,368","Kendall County","Race: Sheriff","AL AUXIER","R","I","24,368",100
"1230","24,437","Kendall County","Race: Tax Assessor-Collector","JAMES A. HUDSON","R","I","24,437",100
"1231","26","Kenedy County","Race: Constable","J.W. (JOEY) CLEMENTS","R","N","26",100
"1232","147","Kenedy County","Race: County Attorney","ALLISON STRAUSS","D","I","147",100
"1233","152","Kenedy County","Race: County Commissioner Pct. 1","JOSE RECIO","D","I","152",100
"1234","42","Kenedy County","Race: County Commissioner Pct. 3","SARITA ARMSTRONG HIXON","R","I","42",100
"1235","144/8944","Kenedy County","Race: District Attorney For Kleberg and Kenedy Counties Judicial District","JOHN T. HUBERT","R","I","144/8944",NA
"1236","207","Kenedy County","Race: Sheriff","LONNIE ALLEN BROWN","R","N","86",41.5458937198068
"1237","207","Kenedy County","Race: Sheriff","RAMON ""RAY"" SALINAS III","D","I","121",58.4541062801932
"1238","152","Kenedy County","Race: Tax Assessor-Collector","IRMA GARCIA LONGORIA","D","N","152",100
"1239","437","Kent County","Race: County Attorney","BILL BALLARD","D","I","81",18.5354691075515
"1240","437","Kent County","Race: County Attorney","KATIE LACKEY","R","N","356",81.4645308924485
"1241","126","Kent County","Race: County Commissioner Pct. 1","ROY W. CHISUM","R","I","126",100
"1242","90","Kent County","Race: County Commissioner Pct. 3","DARYL HAM","R","I","90",100
"1243","250/2642","Kent County","Race: District Attorney 39th Judicial District","MIKE FOUTS","D","I","250/2642",NA
"1244","312","Kent County","Race: Sheriff/Tax Assessor-Collector","WILLIAM SCOGIN","D","I","312",100
"1245","1","Kerr County","Race: Constable Pct. 1","TOMMY RODRIGUEZ","R","I","1",100
"1246","1","Kerr County","Race: Constable Pct. 2","KYLE SCHNEIDER","R","I","1",100
"1247","1","Kerr County","Race: Constable Pct. 3","PAUL A. GONZALES","R","N","1",100
"1248","1","Kerr County","Race: Constable Pct. 4","BRAD RIDER","R","N","1",100
"1249","1","Kerr County","Race: County Attorney","HEATHER STEBBINS","R","I","1",100
"1250","1","Kerr County","Race: County Clerk","JACKIE ""JD"" DOWDY","R","I","1",100
"1251","6,518","Kerr County","Race: County Commissioner Pct. 1","HARLEY DAVID BELEW","R","I","5,420",83.154341822645
"1252","1","Kerr County","Race: County Commissioner Pct. 3","JONATHAN LETZ","R","I","1",100
"1253","22473/33240","Kerr County","Race: District Attorney 198th Judicial District","STEPHEN HARPOLD","R","N","22473/33240",NA
"1254","22723/35852","Kerr County","Race: District Attorney 216th Judicial District","LUCY WILKE","R","I","22723/35852",NA
"1255","25,659","Kerr County","Race: Sheriff","LARRY LEITHA","R","N","22,310",86.9480494173584
"1256","1","Kerr County","Race: Tax Assessor-Collector","BOB REEVES","R","I","1",100
"1257","1,999","Kimble County","Race: Constable","BRYAN PAYNE","R","I","1,999",100
"1258","2,092","Kimble County","Race: County Attorney","ANDREW J. HEAP","R","I","2,092",100
"1259","492","Kimble County","Race: County Commissioner Pct. 1","BRAYDEN SCHULZE","R","N","492",100
"1260","480","Kimble County","Race: County Commissioner Pct. 3","DENNIS DUNAGAN","R","I","480",100
"1261","2,151","Kimble County","Race: Sheriff/Tax Assessor-Collector","ALLEN CASTLEBERRY","R","N","1,650",76.7085076708508
"1262","1","King County","Race: County Attorney","TREY POAGE","R","I","1",100
"1263","32","King County","Race: County Commissioner Pct. 1","REGGIE HATFIELD","R","I","32",100
"1264","42","King County","Race: County Commissioner Pct. 3","DWAYNE GREEN","R","I","42",100
"1265","142/3490","King County","Race: District Attorney 50th Judicial District","HUNTER BROOKS","R","N","142/3490",NA
"1266","142","King County","Race: Sheriff","MICHAEL MCWHIRTER","R","I","142",100
"1267","147","King County","Race: Tax Assessor-Collector","AMY MCCAULEY","R","N","147",100
"1268","1,381","Kinney County","Race: Constable","STEVEN GALLEGOS","R","N","876",63.4322954380883
"1269","1,228","Kinney County","Race: County Attorney","BRENT SMITH","R","N","1,228",100
"1270","369","Kinney County","Race: County Commissioner Pct. 1","MARK FRERICH","R","I","369",100
"1271","254","Kinney County","Race: County Commissioner Pct. 3","DENNIS DODSON","D","N","254",100
"1272","1216/12236","Kinney County","Race: District Attorney 63rd Judicial District","SUZANNE WEST","R","N","1216/12236",NA
"1273","1,247","Kinney County","Race: Sheriff","BRAD COE","R","I","1,247",100
"1274","1,577","Kinney County","Race: Tax Assessor-Collector","MARTHA PEÑA PADRON","D","I","1,026",65.0602409638554
"1275","1,577","Kinney County","Race: Tax Assessor-Collector","MARTINA (MARTI) PAYNE","R","N","551",34.9397590361446
"1276","1","Kleberg County","Race: Constable Pct. 1","BILL HACK","R","I","1",100
"1277","1","Kleberg County","Race: Constable Pct. 2","OMAR ROSALES","D","I","1",100
"1278","1","Kleberg County","Race: Constable Pct. 3","JESSE RIVERA","R","I","1",100
"1279","2,119","Kleberg County","Race: Constable Pct. 4","AMANDO O VIDAL","D","I","1,265",59.6979707409155
"1280","1","Kleberg County","Race: County Attorney","KIRA TALIP SANCHEZ","D","I","1",100
"1281","1","Kleberg County","Race: County Commissioner Pct. 1","DAVID ROSSE","R","I","1",100
"1282","3,122","Kleberg County","Race: County Commissioner Pct. 3","ARTURO ""ARTIE"" DE LA ROSA","D","N","1,361",43.5938500960922
"1283","3,122","Kleberg County","Race: County Commissioner Pct. 3","JERRY MARTINEZ","R","N","1,761",56.4061499039078
"1284","2,216","Kleberg County","Race: County Commissioner Pct. 4","MARCUS SALINAS","D","N","1,522",68.6823104693141
"1285","2,216","Kleberg County","Race: County Commissioner Pct. 4","RENE BAZAN","R","N","694",31.3176895306859
"1286","8800/8944","Kleberg County","Race: District Attorney For Kleberg and Kenedy Counties Judicial District","JOHN T. HUBERT","R","I","8800/8944",NA
"1287","10,812","Kleberg County","Race: Sheriff","DANNY PENA","D","N","4,861",44.9593044765076
"1288","10,812","Kleberg County","Race: Sheriff","RICHARD KIRKPATRICK","R","I","5,951",55.0406955234924
"1289","10,592","Kleberg County","Race: Tax Assessor-Collector","MARIA VICTORIA ""VICKY"" VALADEZ","R","N","5,402",51.0007552870091
"1290","10,592","Kleberg County","Race: Tax Assessor-Collector","SUSAN DELEON","D","N","5,190",48.9992447129909
"1291","401","Knox County","Race: County Attorney","LINA REYES TREVINO (Write-In)","D","I","401",100
"1292","369","Knox County","Race: County Commissioner Pct. 1","JOHNNY MCCOWN","R","I","369",100
"1293","338","Knox County","Race: County Commissioner Pct. 3","JAMES(JIMMY) URBANCZYK","D","I","133",39.3491124260355
"1294","338","Knox County","Race: County Commissioner Pct. 3","RAY HERRING","R","N","205",60.6508875739645
"1295","1188/3490","Knox County","Race: District Attorney 50th Judicial District","HUNTER BROOKS","R","N","1188/3490",NA
"1296","1,220","Knox County","Race: Sheriff","HUNTER EMBESI","R","I","1,220",100
"1297","1,246","Knox County","Race: Tax Assessor-Collector","PENNY EATON","R","N","1,246",100
"1298","1","Lamar County","Race: Constable Pct. 1","TRAVIS RHODES","R","I","1",100
"1299","1","Lamar County","Race: Constable Pct. 2","JEFF JONES","R","I","1",100
"1300","1","Lamar County","Race: Constable Pct. 3","STEVEN HILL","R","I","1",100
"1301","1","Lamar County","Race: Constable Pct. 4","HUNTER SANDERS","R","N","1",100
"1302","1","Lamar County","Race: Constable Pct. 5","JIMMY HODGES","R","I","1",100
"1303","1","Lamar County","Race: County Commissioner Pct. 1","ALAN SKIDMORE","R","N","1",100
"1304","1","Lamar County","Race: County Commissioner Pct. 3","RONALD BASS","R","I","1",100
"1305","1","Lamar County","Race: District/County Attorney","GARY D. YOUNG","R","I","1",100
"1306","1","Lamar County","Race: Justice of the Peace Pct. 5 Place 1","MICHAEL ""WOODY"" WOODSON","R","N","1",100
"1307","1","Lamar County","Race: Sheriff","SCOTT CASS","R","I","1",100
"1308","1","Lamar County","Race: Tax Assessor-Collector","HASKELL MARONEY","R","I","1",100
"1309","705","Lamb County","Race: County Commissioner Pct. 1","CORY DEBERRY","R","I","705",100
"1310","1,165","Lamb County","Race: County Commissioner Pct. 3","DANNY SHORT","R","I","1,165",100
"1311","3,937","Lamb County","Race: District/County Attorney","SCOTT SAY","R","I","3,937",100
"1312","3,978","Lamb County","Race: Sheriff","GARY MADDOX","R","I","3,978",100
"1313","4,024","Lamb County","Race: Tax Assessor-Collector","BRENDA GOHEEN","R","I","4,024",100
"1314","4,341","Lampasas County","Race: Constable Pct. 1","DENNIS A. JAMES","R","I","4,341",100
"1315","908","Lampasas County","Race: Constable Pct. 2","MISTY MALDONADO","R","N","908",100
"1316","4,199","Lampasas County","Race: Constable Pct. 4","GILBERT ESPARZA","R","N","4,199",100
"1317","2,451","Lampasas County","Race: County Commissioner Pct. 1","BOBBY CARROLL","R","I","2,451",100
"1318","1,677","Lampasas County","Race: County Commissioner Pct. 3","LEWIS BRIDGES","R","I","1,677",100
"1319","9,459","Lampasas County","Race: District/County Attorney","JOHN GREENWOOD","R","I","9,459",100
"1320","9,520","Lampasas County","Race: Sheriff","JESS G. RAMOS","R","I","9,520",100
"1321","9,527","Lampasas County","Race: Tax Assessor-Collector","BETTY SALINAS","R","I","9,527",100
"1322","1","La Salle County","Race: Constable Pct. 1","HUMBERTO ""BEAR"" GONZALEZ JR","D","N","1",100
"1323","1","La Salle County","Race: Constable Pct. 2","RENE MALDONADO","D","I","1",100
"1324","1","La Salle County","Race: Constable Pct. 3","HECTOR C. RAMIREZ JR","D","I","1",100
"1325","1","La Salle County","Race: Constable Pct. 4","GUY MEGLIORINO","R","I","1",100
"1326","1","La Salle County","Race: County Attorney","ELIZABETH MARTINEZ","D","I","1",100
"1327","780","La Salle County","Race: County Commissioner Pct. 1","ABEL GONZALEZ","R","N","279",35.7692307692308
"1328","780","La Salle County","Race: County Commissioner Pct. 1","NOEL ""NONI"" NIAVEZ","D","I","501",64.2307692307692
"1329","1","La Salle County","Race: County Commissioner Pct. 3","ERASMO ""MITO"" RAMIREZ JR","D","I","1",100
"1330","1376/41169","La Salle County","Race: District Attorney 81st Judicial District","AUDREY GOSSETT LOUIS","R","I","1376/41169",NA
"1331","1","La Salle County","Race: Sheriff","ANTHONY ""TONY"" ZERTUCHE","D","N","1",100
"1332","1","La Salle County","Race: Tax Assessor-Collector","DORA A.  GONZALES","D","I","1",100
"1333","1","Lavaca County","Race: Constable Pct. 1","MIKE BUCHANEK","R","I","1",100
"1334","1","Lavaca County","Race: Constable Pct. 2","CHARLES (CHUCK) GREIVE","R","I","1",100
"1335","1","Lavaca County","Race: Constable Pct. 3","LARRY WAYNE HLAVAC","R","I","1",100
"1336","1","Lavaca County","Race: Constable Pct. 4","KERRY L. PETERSON","R","I","1",100
"1337","1","Lavaca County","Race: County Commissioner Pct. 1","EDWARD PUSTKA","R","I","1",100
"1338","1","Lavaca County","Race: County Commissioner Pct. 3","KENNY W. SIEGEL","R","N","1",100
"1339","9,905","Lavaca County","Race: County Judge","DOUGLAS KUBICEK","D","N","3,886",39.2327107521454
"1340","9,905","Lavaca County","Race: County Judge","MARK MYERS","R","N","6,019",60.7672892478546
"1341","1","Lavaca County","Race: District/County Attorney","KYLE A. DENNEY","R","N","1",100
"1342","1","Lavaca County","Race: Sheriff","MICAH C. HARMON","R","I","1",100
"1343","1","Lavaca County","Race: Tax Assessor-Collector","DEBORAH A. SEVCIK","R","I","1",100
"1344","1","Lee County","Race: Constable Pct. 2","VERNON J. SURMAN","R","I","1",100
"1345","1","Lee County","Race: Constable Pct. 3","BILLY STEPHENS","R","N","1",100
"1346","1","Lee County","Race: Constable Pct. 4","LEE DOBOS","R","N","1",100
"1347","1,582","Lee County","Race: County Commissioner Pct. 1","MARK MATTHIJETZ","R","N","817",51.6434892541087
"1348","1,582","Lee County","Race: County Commissioner Pct. 1","MAURICE PITTS JR","D","I","765",48.3565107458913
"1349","1","Lee County","Race: County Commissioner Pct. 3","ALAN B. TURNER","R","I","1",100
"1350","1","Lee County","Race: District/County Attorney","MARTIN J. PLACKE","R","I","1",100
"1351","1","Lee County","Race: Sheriff","CASEY G. GOETZ","R","N","1",100
"1352","1","Lee County","Race: Tax Assessor-Collector","DAVID MATTHIJETZ","R","I","1",100
"1353","2,122","Leon County","Race: Constable Pct. 1","GLENN HIGHTOWER","R","N","2,122",100
"1354","2,044","Leon County","Race: Constable Pct. 2","GEORGE HOLLEMAN","R","I","2,044",100
"1355","1,220","Leon County","Race: Constable Pct. 4","DAVID WELCH","R","I","1,220",100
"1356","5,390","Leon County","Race: County Attorney","KEITH COOK","R","N","5,390",100
"1357","2,044","Leon County","Race: County Commissioner Pct. 1","JOEY SULLIVAN","R","I","2,044",100
"1358","1,137","Leon County","Race: County Commissioner Pct. 3","KYLE WORKMAN","R","N","1,137",100
"1359","5222/5222","Leon County","Race: District Attorney 369th Judicial District","JAMES CALEB HENSON","R","N","5222/5222",NA
"1360","5,521","Leon County","Race: Sheriff","KEVIN ELLIS","R","I","5,521",100
"1361","5,499","Leon County","Race: Tax Assessor-Collector","ROBIN SHAFER","R","I","5,499",100
"1362","3,898","Liberty County","Race: Constable Pct. 1","MARTIN TRAHAN","D","N","1,222",31.3494099538225
"1363","3,898","Liberty County","Race: Constable Pct. 1","TAMMY BISHOP","R","N","2,676",68.6505900461775
"1364","1","Liberty County","Race: Constable Pct. 2","LES HULSEY","R","I","1",100
"1365","1","Liberty County","Race: Constable Pct. 3","MARK ""MADDOG"" DAVISON","R","I","1",100
"1366","1","Liberty County","Race: Constable Pct. 4","ROBERT ""ROBBY"" E. THORNTON JR","R","I","1",100
"1367","1","Liberty County","Race: Constable Pct. 5","S. DAVID HUNTER","R","I","1",100
"1368","1","Liberty County","Race: Constable Pct. 6","ZACK HARKNESS","R","N","1",100
"1369","1","Liberty County","Race: County Attorney","MATTHEW POSTON","R","I","1",100
"1370","1","Liberty County","Race: County Commissioner Pct. 1","BRUCE KARBOWSKI","R","I","1",100
"1371","1","Liberty County","Race: County Commissioner Pct. 1","RONALD W. BLAKE","D","N","0",0
"1372","6,127","Liberty County","Race: County Commissioner Pct. 3","BARBARA MCINTYRE","D","N","1,853",30.2431858984821
"1373","6,127","Liberty County","Race: County Commissioner Pct. 3","DAVID S. WHITMIRE","R","N","4,274",69.7568141015179
"1374","1/1","Liberty County","Race: District Attorney 253rd Judicial District","JENNIFER L. BERGMAN","R","N","1/1",NA
"1375","1","Liberty County","Race: Sheriff","BOBBY RADER","R","I","1",100
"1376","1","Liberty County","Race: Tax Assessor-Collector","RICHARD ""RICKY"" L. BROWN","R","I","1",100
"1377","2,249","Limestone County","Race: Constable Pct. 1","SCOTT T. SMITH","R","I","2,249",100
"1378","1,503","Limestone County","Race: Constable Pct. 2","RAY FORRESTER","R","I","1,503",100
"1379","1,955","Limestone County","Race: Constable Pct. 3","GLENN SHOEMAKER","R","I","1,955",100
"1380","1,971","Limestone County","Race: Constable Pct. 4","MARK ROARK","R","N","1,971",100
"1381","2,278","Limestone County","Race: County Commissioner Pct. 1","BILL DAVID SADLER","R","N","2,278",100
"1382","1,948","Limestone County","Race: County Commissioner Pct. 3","STEPHEN FRIDAY","R","N","1,948",100
"1383","7,724","Limestone County","Race: District/County Attorney","ROY DEFRIEND","R","I","7,724",100
"1384","7,662","Limestone County","Race: Sheriff","MURRAY AGNEW","R","N","7,662",100
"1385","7,788","Limestone County","Race: Tax Assessor-Collector","STACY L. HALL","R","I","7,788",100
"1386","1","Lipscomb County","Race: County Attorney","MATTHEW BARTOSIEWICZ","R","I","1",100
"1387","1","Lipscomb County","Race: County Commissioner Pct. 1","JUAN CANTU","R","I","1",100
"1388","1","Lipscomb County","Race: County Commissioner Pct. 3","SCOTTY SCHILLING","R","I","1",100
"1389","1/5855","Lipscomb County","Race: District Attorney 31st Judicial District","FRANKLIN MCDONOUGH","R","I","1/5855",NA
"1390","1","Lipscomb County","Race: Sheriff","JOHN WORTHINGTON","R","N","1",100
"1391","1","Lipscomb County","Race: Tax Assessor-Collector","GAILAN WINEGARNER","R","I","1",100
"1392","1,295","Live Oak County","Race: Constable Pct. 1","WESLEY KYLE GRAY","R","N","1,295",100
"1393","877","Live Oak County","Race: Constable Pct. 2","VINCENT ROBERTS","R","N","877",100
"1394","1,257","Live Oak County","Race: Constable Pct. 3","HECTOR VALVERDE","R","N","1,257",100
"1395","771","Live Oak County","Race: Constable Pct. 4","BRUCE T THOMAS","R","I","771",100
"1396","4,387","Live Oak County","Race: County Attorney","DWAYNE MCWILLIAMS","R","I","4,387",100
"1397","1,342","Live Oak County","Race: County Commissioner Pct. 1","RICHARD LEE","R","I","1,342",100
"1398","1,286","Live Oak County","Race: County Commissioner Pct. 3","MITCHELL WILLIAMS","R","N","1,286",100
"1399","4,416","Live Oak County","Race: County Treasurer","KITLEY MOFFATT-WASICEK","R","I","4,416",100
"1400","4289/11801","Live Oak County","Race: District Attorney 156th Judicial District","JOSE ALISEDA","R","I","4289/11801",NA
"1401","1,281","Live Oak County","Race: Justice of the Peace Pct. 3","DONNIE WATKINS","R","N","1,281",100
"1402","4,474","Live Oak County","Race: Sheriff","LARRY R BUSBY","R","I","4,474",100
"1403","4,410","Live Oak County","Race: Tax Assessor-Collector","DEANNA ATKINSON","R","N","4,410",100
"1404","3,672","Llano County","Race: Constable Pct. 1","GARY OLFERS","R","I","3,672",100
"1405","2,462","Llano County","Race: Constable Pct. 2","RICHARD HARRIS","R","I","2,462",100
"1406","1,959","Llano County","Race: Constable Pct. 3","WILLIAM (BILL) EDWARDS","R","I","1,959",100
"1407","2,581","Llano County","Race: Constable Pct. 4","JOE ""BUCK"" SIMPSON JR","R","I","2,581",100
"1408","10,545","Llano County","Race: County Attorney","DWAIN ROGERS","R","N","10,545",100
"1409","3,701","Llano County","Race: County Commissioner Pct. 1","PETER JONES","R","I","3,701",100
"1410","1,926","Llano County","Race: County Commissioner Pct. 3","MIKE SANDOVAL","R","I","1,926",100
"1411","10481/39407","Llano County","Race: District Attorney 33rd Judicial District","WILEY B. ""SONNY"" MCAFEE","R","I","10481/39407",NA
"1412","1,937","Llano County","Race: Justice of the Peace Pct. 3","DEBRA (DEB) EDWARDS","R","I","1,937",100
"1413","10,518","Llano County","Race: Sheriff","BILL BLACKBURN","R","I","10,518",100
"1414","10,621","Llano County","Race: Tax Assessor-Collector","KRIS FOGELBERG","R","I","10,621",100
"1415","66","Loving County","Race: Constable","BRANDON JONES","R","I","66",100
"1416","59","Loving County","Race: County Attorney","STEPHEN SIMONSEN","R","I","59",100
"1417","11","Loving County","Race: County Commissioner Pct. 1","HARLAN HOPPER","D","I","11",100
"1418","45/4520","Loving County","Race: District Attorney 143rd Judicial District","RANDALL REYNOLDS","D","I","45/4520",NA
"1419","59","Loving County","Race: Justice of the Peace","AMBER MARIE KING","R","N","59",100
"1420","38","Loving County","Race: Sheriff/Tax Assessor-Collector","CHRISTOPHER H.  BUSSE","D","I","38",100
"1421","38,314","Lubbock County","Race: Constable Pct. 1","PAUL HANNA","R","I","38,314",100
"1422","19,802","Lubbock County","Race: Constable Pct. 2","JODY BARNES","R","I","19,802",100
"1423","11,543","Lubbock County","Race: Constable Pct. 3","MARINA GARCIA","D","I","11,543",100
"1424","22,198","Lubbock County","Race: Constable Pct. 4","TONY JACKSON","R","I","22,198",100
"1425","38,352","Lubbock County","Race: County Commissioner Pct. 1","TERENCE KOVAR","R","N","38,352",100
"1426","15,709","Lubbock County","Race: County Commissioner Pct. 3","CARY W. SHAW","R","N","6,862",43.6819657521166
"1427","15,709","Lubbock County","Race: County Commissioner Pct. 3","GILBERT FLORES","D","I","8,847",56.3180342478834
"1428","92,024","Lubbock County","Race: Sheriff","KELLY S. ROWE","R","I","92,024",100
"1429","91,640","Lubbock County","Race: Tax Assessor-Collector","RONNIE KEISTER","R","I","91,640",100
"1430","1","Lynn County","Race: County Attorney","REBEKAH FILLEY","R","I","1",100
"1431","1","Lynn County","Race: County Commissioner Pct. 1","MATT WOODLEY","R","I","1",100
"1432","1","Lynn County","Race: County Commissioner Pct. 3","DON BLAIR","R","I","1",100
"1433","1979/11691","Lynn County","Race: District Attorney 106th Judicial District","PHILIP MACK FURLOW","R","I","1979/11691",NA
"1434","1","Lynn County","Race: Sheriff","WANDA MASON","R","N","1",100
"1435","1","Lynn County","Race: Tax Assessor-Collector","DONNA WILLIS","R","I","1",100
"1436","1","McCulloch County","Race: County Attorney","MARK MARSHALL","R","I","1",100
"1437","1","McCulloch County","Race: County Commissioner Pct. 1","CAROL ANDERSON","R","N","1",100
"1438","1","McCulloch County","Race: County Commissioner Pct. 3","JASON BEHRENS","R","I","1",100
"1439","1","McCulloch County","Race: County Treasurer","MIKKIE WILLIAMS","R","N","1",100
"1440","1","McCulloch County","Race: Sheriff","MATT ANDREWS","R","N","1",100
"1441","1","McCulloch County","Race: Tax Assessor-Collector","SYLVIA CAMPOS","R","I","1",100
"1442","21,953","McLennan County","Race: County Commissioner Pct. 1","ALICE RODRIQUEZ","D","N","7,709",35.1159294857195
"1443","21,953","McLennan County","Race: County Commissioner Pct. 1","JAMES A. (JIM) SMITH","R","N","14,244",64.8840705142805
"1444","17,267","McLennan County","Race: County Commissioner Pct. 3","WILL JONES","R","I","17,267",100
"1445","74,729","McLennan County","Race: Sheriff","PARNELL MCNAMARA","R","I","74,729",100
"1446","72,007","McLennan County","Race: Tax Assessor-Collector","RANDY H. RIGGS","R","I","72,007",100
"1447","482","McMullen County","Race: Constable","MARTIN SOWARD","R","N","338",70.1244813278008
"1448","1","McMullen County","Race: County Attorney","KIMBERLY KAY KREIDER-DUSEK","R","I","1",100
"1449","1","McMullen County","Race: County Commissioner Pct. 1","HILARIO ""LARRY"" GARCIA","R","I","1",100
"1450","1","McMullen County","Race: County Commissioner Pct. 3","SCOTTY MCCLAUGHERTY","R","I","1",100
"1451","421/11801","McMullen County","Race: District Attorney 156th Judicial District","JOSE ALISEDA","R","I","421/11801",NA
"1452","1","McMullen County","Race: Sheriff","EMMETT ""BUBBA"" SHELTON","R","I","1",100
"1453","1","McMullen County","Race: Tax Assessor-Collector","BESSILLIA GUERRERO","R","I","1",100
"1454","2,167","Madison County","Race: Constable Pct. 1","JIM JACKSON","R","N","2,167",100
"1455","2,303","Madison County","Race: Constable Pct. 2","CHARLES TURNER","R","I","2,303",100
"1456","971","Madison County","Race: County Commissioner Pct. 1","RICKY DRISKELL","R","I","971",100
"1457","858","Madison County","Race: County Commissioner Pct. 3","CARL CANNON","R","I","858",100
